id,x_studio_charge_name,x_studio_charge_group,x_active,x_studio_sequence,x_studio_rfq_charge_header_id/id,x_studio_structure_no,x_studio_basis,x_studio_percent,x_studio_amount,x_studio_company_id/id
import_rfq_charge_li_id_12269,BankCharge,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5535,1,Fixed Per Document,0.0,53.68421052631578,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12270,Clearing,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5536,2,Fixed Per Document,0.0,59.05263157894737,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12271,Freight & Ex work,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5537,3,Fixed Per Document,0.0,62.273684210526305,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12272,Insurance,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5538,4,Fixed Per Document,0.0,64.42105263157895,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12273,Misc,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5539,5,Fixed Per Document,0.0,67.10526315789474,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12274,Sup.Bank Charge,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5540,6,Fixed Per Document,0.0,69.78947368421052,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12275,Pallet Charges,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5541,7,Fixed Per Document,0.0,72.47368421052632,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12276,Document Charges,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5542,8,Fixed Per Document,0.0,75.15789473684211,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12277,Other,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5543,9,Fixed Per Document,0.0,77.84210526315789,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12278,CID,Duty,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5544,10,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12279,EIC,Duty,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5545,11,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12280,ESC,Duty,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5546,12,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12281,Excise,Duty,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5547,13,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12282,PAL,Duty,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5548,14,Percentage,0.0,1200.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12283,RIDL,Duty,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5549,15,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12284,SRL,Duty,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5550,16,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12285,Surcharge,Duty,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5551,17,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12286,NBT,Taxes,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5552,18,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12287,NBT-N,Taxes,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5553,19,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12288,VAT-on-Item,Taxes,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5554,20,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12289,VAT-on-GL,Taxes,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5555,21,Percentage,0.0,2592.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12290,SSCL,Taxes,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5556,22,Percentage,0.0,360.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12291,BankCharge,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5557,1,Fixed Per Document,0.0,20.25148908007942,seed_master_data_and_settings.company_jinasena_agricultural_machinery
