id,x_studio_tariff_master_ids/id
Jinasena_MasterData_Purchase.tariff_date_id_1250,Jinasena_MasterData_Purchase.tariffmaster_8481_80_90
Jinasena_MasterData_Purchase.tariff_date_id_1251,Jinasena_MasterData_Purchase.tariffmaster_8481_90_90
Jinasena_MasterData_Purchase.tariff_date_id_1252,Jinasena_MasterData_Purchase.tariffmaster_8482_10_00
Jinasena_MasterData_Purchase.tariff_date_id_1253,Jinasena_MasterData_Purchase.tariffmaster_8482_20_00
Jinasena_MasterData_Purchase.tariff_date_id_1254,Jinasena_MasterData_Purchase.tariffmaster_8482_30_00
Jinasena_MasterData_Purchase.tariff_date_id_1255,Jinasena_MasterData_Purchase.tariffmaster_8482_99_00
Jinasena_MasterData_Purchase.tariff_date_id_1256,Jinasena_MasterData_Purchase.tariffmaster_8483_10_00
Jinasena_MasterData_Purchase.tariff_date_id_1257,Jinasena_MasterData_Purchase.tariffmaster_8483_20_00
Jinasena_MasterData_Purchase.tariff_date_id_1258,Jinasena_MasterData_Purchase.tariffmaster_8483_40_00
Jinasena_MasterData_Purchase.tariff_date_id_1259,Jinasena_MasterData_Purchase.tariffmaster_8483_50_00
Jinasena_MasterData_Purchase.tariff_date_id_1260,Jinasena_MasterData_Purchase.tariffmaster_8483_90_00
Jinasena_MasterData_Purchase.tariff_date_id_1261,Jinasena_MasterData_Purchase.tariffmaster_8484_20_00_1089
Jinasena_MasterData_Purchase.tariff_date_id_1262,Jinasena_MasterData_Purchase.tariffmaster_8501_40_10_1090
Jinasena_MasterData_Purchase.tariff_date_id_1263,Jinasena_MasterData_Purchase.tariffmaster_8501_52_10_1091
Jinasena_MasterData_Purchase.tariff_date_id_1264,Jinasena_MasterData_Purchase.tariffmaster_8501_52_90
Jinasena_MasterData_Purchase.tariff_date_id_1265,Jinasena_MasterData_Purchase.tariffmaster_8503_00_10
Jinasena_MasterData_Purchase.tariff_date_id_1266,Jinasena_MasterData_Purchase.tariffmaster_8503_00_90_1094
Jinasena_MasterData_Purchase.tariff_date_id_1267,Jinasena_MasterData_Purchase.tariffmaster_8504_40_90
Jinasena_MasterData_Purchase.tariff_date_id_1268,Jinasena_MasterData_Purchase.tariffmaster_8505_19_00
Jinasena_MasterData_Purchase.tariff_date_id_1269,Jinasena_MasterData_Purchase.tariffmaster_8511_40_00
Jinasena_MasterData_Purchase.tariff_date_id_1270,Jinasena_MasterData_Purchase.tariffmaster_8511_90_00
Jinasena_MasterData_Purchase.tariff_date_id_1271,Jinasena_MasterData_Purchase.tariffmaster_8532_25_90_1099
Jinasena_MasterData_Purchase.tariff_date_id_1272,Jinasena_MasterData_Purchase.tariffmaster_8532_29_90
Jinasena_MasterData_Purchase.tariff_date_id_1273,Jinasena_MasterData_Purchase.tariffmaster_8532_30_09
Jinasena_MasterData_Purchase.tariff_date_id_1274,Jinasena_MasterData_Purchase.tariffmaster_8536_10_00
Jinasena_MasterData_Purchase.tariff_date_id_1275,Jinasena_MasterData_Purchase.tariffmaster_8536_20_00_1103
Jinasena_MasterData_Purchase.tariff_date_id_1276,Jinasena_MasterData_Purchase.tariffmaster_8536_90_90
Jinasena_MasterData_Purchase.tariff_date_id_1277,Jinasena_MasterData_Purchase.tariffmaster_8537_10_00
Jinasena_MasterData_Purchase.tariff_date_id_1278,Jinasena_MasterData_Purchase.tariffmaster_8546_90_00
Jinasena_MasterData_Purchase.tariff_date_id_1279,Jinasena_MasterData_Purchase.tariffmaster_8701_10_90
Jinasena_MasterData_Purchase.tariff_date_id_1280,Jinasena_MasterData_Purchase.tariffmaster_8708_40_00
Jinasena_MasterData_Purchase.tariff_date_id_1281,Jinasena_MasterData_Purchase.tariffmaster_8708_93_00
Jinasena_MasterData_Purchase.tariff_date_id_1282,Jinasena_MasterData_Purchase.tariffmaster_8708_99_90
Jinasena_MasterData_Purchase.tariff_date_id_1283,Jinasena_MasterData_Purchase.tariffmaster_9013_20_00
Jinasena_MasterData_Purchase.tariff_date_id_1284,Jinasena_MasterData_Purchase.tariffmaster_9016_00_00
Jinasena_MasterData_Purchase.tariff_date_id_1285,Jinasena_MasterData_Purchase.tariffmaster_9026_20_00_1113
Jinasena_MasterData_Purchase.tariff_date_id_1286,Jinasena_MasterData_Purchase.tariffmaster_9026_90_00
Jinasena_MasterData_Purchase.tariff_date_id_1287,Jinasena_MasterData_Purchase.tariffmaster_9029_20_00
Jinasena_MasterData_Purchase.tariff_date_id_1288,Jinasena_MasterData_Purchase.tariffmaster_9032_10_00
Jinasena_MasterData_Purchase.tariff_date_id_1289,Jinasena_MasterData_Purchase.tariffmaster_9032_20_00_1117
